"Repo","Skill","Status","Source","Dest"
"scientific-agent-skills","scikit-survival","installed","skills/scikit-survival/SKILL.md","C:\Users\lixue\.codex\skills\scikit-survival"
"scientific-agent-skills","scvelo","installed","skills/scvelo/SKILL.md","C:\Users\lixue\.codex\skills\scvelo"
"scientific-agent-skills","scvi-tools","installed","skills/scvi-tools/SKILL.md","C:\Users\lixue\.codex\skills\scvi-tools"
"scientific-agent-skills","seaborn","installed","skills/seaborn/SKILL.md","C:\Users\lixue\.codex\skills\seaborn"
"scientific-agent-skills","shap","installed","skills/shap/SKILL.md","C:\Users\lixue\.codex\skills\shap"
"scientific-agent-skills","simpy","installed","skills/simpy/SKILL.md","C:\Users\lixue\.codex\skills\simpy"
"scientific-agent-skills","stable-baselines3","installed","skills/stable-baselines3/SKILL.md","C:\Users\lixue\.codex\skills\stable-baselines3"
"scientific-agent-skills","statistical-analysis","installed","skills/statistical-analysis/SKILL.md","C:\Users\lixue\.codex\skills\statistical-analysis"
"scientific-agent-skills","statistical-power","installed","skills/statistical-power/SKILL.md","C:\Users\lixue\.codex\skills\statistical-power"
"scientific-agent-skills","statsmodels","installed","skills/statsmodels/SKILL.md","C:\Users\lixue\.codex\skills\statsmodels"
"scientific-agent-skills","sympy","installed","skills/sympy/SKILL.md","C:\Users\lixue\.codex\skills\sympy"
"scientific-agent-skills","tiledbvcf","installed","skills/tiledbvcf/SKILL.md","C:\Users\lixue\.codex\skills\tiledbvcf"
"scientific-agent-skills","timesfm-forecasting","installed","skills/timesfm-forecasting/SKILL.md","C:\Users\lixue\.codex\skills\timesfm-forecasting"
"scientific-agent-skills","torch-geometric","installed","skills/torch-geometric/SKILL.md","C:\Users\lixue\.codex\skills\torch-geometric"
"scientific-agent-skills","torchdrug","installed","skills/torchdrug/SKILL.md","C:\Users\lixue\.codex\skills\torchdrug"
"scientific-agent-skills","transformers","installed","skills/transformers/SKILL.md","C:\Users\lixue\.codex\skills\transformers"
"scientific-agent-skills","treatment-plans","installed","skills/treatment-plans/SKILL.md","C:\Users\lixue\.codex\skills\treatment-plans"
"scientific-agent-skills","umap-learn","installed","skills/umap-learn/SKILL.md","C:\Users\lixue\.codex\skills\umap-learn"
"scientific-agent-skills","usfiscaldata","installed","skills/usfiscaldata/SKILL.md","C:\Users\lixue\.codex\skills\usfiscaldata"
"scientific-agent-skills","vaex","installed","skills/vaex/SKILL.md","C:\Users\lixue\.codex\skills\vaex"
"scientific-agent-skills","venue-templates","installed","skills/venue-templates/SKILL.md","C:\Users\lixue\.codex\skills\venue-templates"
"scientific-agent-skills","what-if-oracle","installed","skills/what-if-oracle/SKILL.md","C:\Users\lixue\.codex\skills\what-if-oracle"
"scientific-agent-skills","xlsx","installed","skills/xlsx/SKILL.md","C:\Users\lixue\.codex\skills\xlsx"
"scientific-agent-skills","zarr-python","installed","skills/zarr-python/SKILL.md","C:\Users\lixue\.codex\skills\zarr-python"
"daily_stock_analysis","analyze-issue","installed",".claude/skills/analyze-issue/SKILL.md","C:\Users\lixue\.codex\skills\analyze-issue"
"daily_stock_analysis","analyze-pr","installed",".claude/skills/analyze-pr/SKILL.md","C:\Users\lixue\.codex\skills\analyze-pr"
"daily_stock_analysis","fix-issue","installed",".claude/skills/fix-issue/SKILL.md","C:\Users\lixue\.codex\skills\fix-issue"
"daily_stock_analysis","stock-analyzer","installed","SKILL.md","C:\Users\lixue\.codex\skills\stock-analyzer"
"QuantDinger","quantdinger-agent-workflow","installed",".cursor/skills/quantdinger-agent-workflow/SKILL.md","C:\Users\lixue\.codex\skills\quantdinger-agent-workflow"
"Vibe-Trading","vibe-trading","installed","agent/SKILL.md","C:\Users\lixue\.codex\skills\vibe-trading"
"Vibe-Trading","adr-hshare","installed","agent/src/skills/adr-hshare/SKILL.md","C:\Users\lixue\.codex\skills\adr-hshare"
"Vibe-Trading","akshare","installed","agent/src/skills/akshare/SKILL.md","C:\Users\lixue\.codex\skills\akshare"
"Vibe-Trading","alpha-zoo","installed","agent/src/skills/alpha-zoo/SKILL.md","C:\Users\lixue\.codex\skills\alpha-zoo"
"Vibe-Trading","ashare-pre-st-filter","installed","agent/src/skills/ashare-pre-st-filter/SKILL.md","C:\Users\lixue\.codex\skills\ashare-pre-st-filter"
"Vibe-Trading","asset-allocation","installed","agent/src/skills/asset-allocation/SKILL.md","C:\Users\lixue\.codex\skills\asset-allocation"
"Vibe-Trading","backtest-diagnose","installed","agent/src/skills/backtest-diagnose/SKILL.md","C:\Users\lixue\.codex\skills\backtest-diagnose"
"Vibe-Trading","behavioral-finance","installed","agent/src/skills/behavioral-finance/SKILL.md","C:\Users\lixue\.codex\skills\behavioral-finance"
"Vibe-Trading","candlestick","installed","agent/src/skills/candlestick/SKILL.md","C:\Users\lixue\.codex\skills\candlestick"
"Vibe-Trading","ccxt","installed","agent/src/skills/ccxt/SKILL.md","C:\Users\lixue\.codex\skills\ccxt"
"Vibe-Trading","chanlun","installed","agent/src/skills/chanlun/SKILL.md","C:\Users\lixue\.codex\skills\chanlun"
"Vibe-Trading","commodity-analysis","installed","agent/src/skills/commodity-analysis/SKILL.md","C:\Users\lixue\.codex\skills\commodity-analysis"
"Vibe-Trading","convertible-bond","installed","agent/src/skills/convertible-bond/SKILL.md","C:\Users\lixue\.codex\skills\convertible-bond"
"Vibe-Trading","corporate-events","installed","agent/src/skills/corporate-events/SKILL.md","C:\Users\lixue\.codex\skills\corporate-events"
"Vibe-Trading","correlation-analysis","installed","agent/src/skills/correlation-analysis/SKILL.md","C:\Users\lixue\.codex\skills\correlation-analysis"
"Vibe-Trading","credit-analysis","installed","agent/src/skills/credit-analysis/SKILL.md","C:\Users\lixue\.codex\skills\credit-analysis"
"Vibe-Trading","cross-market-strategy","installed","agent/src/skills/cross-market-strategy/SKILL.md","C:\Users\lixue\.codex\skills\cross-market-strategy"
"Vibe-Trading","crypto-derivatives","installed","agent/src/skills/crypto-derivatives/SKILL.md","C:\Users\lixue\.codex\skills\crypto-derivatives"
"Vibe-Trading","data-routing","installed","agent/src/skills/data-routing/SKILL.md","C:\Users\lixue\.codex\skills\data-routing"
"Vibe-Trading","defi-yield","installed","agent/src/skills/defi-yield/SKILL.md","C:\Users\lixue\.codex\skills\defi-yield"
"Vibe-Trading","dividend-analysis","installed","agent/src/skills/dividend-analysis/SKILL.md","C:\Users\lixue\.codex\skills\dividend-analysis"
"Vibe-Trading","doc-reader","installed","agent/src/skills/doc-reader/SKILL.md","C:\Users\lixue\.codex\skills\doc-reader"
